date,open,high,low,close,volume,fear_greed,hash_rate,n_transactions
2020-01-01,7195.24,7255.0,7175.15,7200.85,16792.388165,37.0,112718458.532564,251735.0
2020-01-02,7200.77,7212.5,6924.74,6965.71,31951.483932,39.0,96717718.3123778,295567.0
2020-01-03,6965.49,7405.0,6871.04,7344.96,68428.500451,38.0,115924073.721928,316517.0
2020-01-04,7345.0,7404.0,7272.21,7354.11,29987.974977,38.0,115238132.457301,287215.0
2020-01-05,7354.19,7495.0,7318.0,7358.75,38331.085604,39.0,111808426.134167,287779.0
2020-01-06,7357.64,7795.34,7346.76,7758.0,54635.695316,41.0,92602070.7246171,299146.0
2020-01-07,7758.9,8207.68,7723.71,8145.28,91171.684661,40.0,120725662.574316,344079.0
2020-01-08,8145.92,8455.0,7870.0,8055.98,112622.64264,51.0,97403659.5770046,318019.0
2020-01-09,8054.72,8055.96,7750.0,7817.76,64239.51983,44.0,107692778.546407,322057.0
2020-01-10,7817.74,8199.0,7672.0,8197.02,82406.777448,41.0,102205248.429392,330734.0
2020-01-11,8198.86,8286.34,8003.16,8020.01,54810.032667,50.0,111808426.134167,309070.0
2020-01-12,8020.01,8197.0,7960.0,8184.98,38131.494336,45.0,103577130.958646,283136.0
2020-01-13,8184.97,8196.0,8055.89,8110.34,31159.755683,49.0,98089600.8416314,291597.0
2020-01-14,8110.34,8880.0,8105.54,8810.01,120399.126742,56.0,99607271.2200415,346953.0
2020-01-15,8814.64,8916.48,8564.0,8821.41,84816.297606,54.0,110915119.366187,332658.0
2020-01-16,8820.01,8859.81,8586.0,8720.01,51991.074284,55.0,116791417.080951,325947.0
2020-01-17,8720.15,9041.65,8672.44,8913.28,70897.737377,54.0,116791417.080951,323992.0
2020-01-18,8913.27,8988.88,8806.38,8915.96,38294.746545,51.0,96958912.29362,287237.0
2020-01-19,8915.09,9198.98,8466.0,8701.7,70676.889259,53.0,110180582.151841,283960.0
2020-01-20,8701.72,8746.99,8521.28,8642.35,38896.639746,48.0,111649656.580532,313661.0
2020-01-21,8642.35,8789.0,8488.0,8736.03,36494.687659,49.0,112384193.794878,315210.0
2020-01-22,8736.04,8818.0,8590.0,8682.36,29080.557138,52.0,114587805.437915,328586.0
2020-01-23,8682.77,8691.81,8306.39,8404.52,48165.944597,49.0,116791417.080951,329918.0
2020-01-24,8404.52,8528.02,8238.0,8439.0,41687.529529,40.0,111649656.580532,313887.0
2020-01-25,8438.99,8451.26,8254.9,8340.58,25521.157932,41.0,120464103.152679,285584.0
2020-01-26,8340.01,8618.13,8293.66,8615.0,31130.485164,42.0,105038821.651422,261247.0
2020-01-27,8614.39,9000.0,8535.0,8907.57,53973.542996,50.0,94755300.6505832,279240.0
2020-01-28,8907.57,9400.0,8862.4,9374.21,74584.853765,54.0,107321517.0167,340052.0
2020-01-29,9375.34,9449.24,9216.0,9301.53,53864.065122,57.0,123011831.712795,340562.0
2020-01-30,9301.57,9578.0,9204.44,9513.21,60626.744259,57.0,119936535.919975,332558.0
2020-01-31,9511.52,9530.22,9210.01,9352.89,45552.022352,55.0,110710648.541515,334434.0
2020-02-01,9351.71,9464.53,9281.0,9384.61,28578.067354,57.0,116092416.17895,303724.0
2020-02-02,9384.41,9477.03,9120.0,9331.51,45690.91254,57.0,109941824.59331,290879.0
2020-02-03,9331.59,9618.79,9234.0,9292.24,50892.133451,59.0,113785944.334335,331012.0
2020-02-04,9291.35,9350.0,9093.01,9197.02,53308.175266,56.0,101484761.163056,309190.0
2020-02-05,9197.02,9744.45,9177.22,9612.04,64870.415615,53.0,122243007.76459,368604.0
2020-02-06,9612.03,9862.57,9526.35,9772.0,64949.706588,61.0,103791233.007671,315370.0
2020-02-07,9772.0,9885.0,9730.0,9813.73,43966.114632,56.0,106866528.80049,334938.0
2020-02-08,9813.87,9940.0,9667.11,9895.05,43600.843666,56.0,106866528.80049,318363.0
2020-02-09,9895.04,10166.0,9880.75,10151.75,43408.475616,56.0,117630064.07536,317070.0
2020-02-10,10151.72,10188.0,9756.0,9851.83,59573.084619,57.0,93796521.681006,298104.0
2020-02-11,9851.74,10323.59,9700.0,10223.08,62422.395224,52.0,114190850.876276,365583.0
2020-02-12,10223.08,10450.0,10223.08,10326.46,61008.06393,61.0,109742275.18922,344615.0
2020-02-13,10325.33,10500.0,10080.0,10229.63,79344.358759,65.0,108969442.265353,340081.0
2020-02-14,10227.78,10381.56,10111.37,10344.36,47038.480173,63.0,104332444.722146,326078.0
2020-02-15,10344.36,10375.0,9801.0,9904.72,57657.202947,64.0,109742275.18922,322721.0
2020-02-16,9904.46,10050.0,9638.12,9917.27,60023.999537,59.0,109742275.18922,292236.0
2020-02-17,9910.7,9964.16,9452.67,9706.0,70261.011901,49.0,121334769.047237,341491.0
2020-02-18,9706.0,10250.0,9576.01,10164.71,70604.124019,53.0,115924938.580162,331050.0
2020-02-19,10164.78,10250.0,9350.0,9593.79,55162.586895,50.0,108969442.265353,334805.0
2020-02-20,9594.65,9699.0,9400.0,9596.42,60152.342914,44.0,97376948.4073364,316626.0
2020-02-21,9597.21,9755.51,9550.21,9677.05,42181.554524,44.0,119016270.275633,338484.0
2020-02-22,9677.05,9709.17,9560.02,9650.86,24636.757623,43.0,114379272.732427,304597.0
2020-02-23,9650.85,9990.0,9645.0,9936.4,37702.089843,46.0,109742275.18922,285579.0
