date,hash_rate,n_transactions
2020-01-01,112718458.532564,251735.0
2020-01-02,96717718.3123778,295567.0
2020-01-03,115924073.721928,316517.0
2020-01-04,115238132.457301,287215.0
2020-01-05,111808426.134167,287779.0
2020-01-06,92602070.7246171,299146.0
2020-01-07,120725662.574316,344079.0
2020-01-08,97403659.5770046,318019.0
2020-01-09,107692778.546407,322057.0
2020-01-10,102205248.429392,330734.0
2020-01-11,111808426.134167,309070.0
2020-01-12,103577130.958646,283136.0
2020-01-13,98089600.8416314,291597.0
2020-01-14,99607271.2200415,346953.0
2020-01-15,110915119.366187,332658.0
2020-01-16,116791417.080951,325947.0
2020-01-17,116791417.080951,323992.0
2020-01-18,96958912.29362,287237.0
2020-01-19,110180582.151841,283960.0
2020-01-20,111649656.580532,313661.0
2020-01-21,112384193.794878,315210.0
2020-01-22,114587805.437915,328586.0
2020-01-23,116791417.080951,329918.0
2020-01-24,111649656.580532,313887.0
2020-01-25,120464103.152679,285584.0
2020-01-26,105038821.651422,261247.0
2020-01-27,94755300.6505832,279240.0
2020-01-28,107321517.0167,340052.0
2020-01-29,123011831.712795,340562.0
2020-01-30,119936535.919975,332558.0
2020-01-31,110710648.541515,334434.0
2020-02-01,116092416.17895,303724.0
2020-02-02,109941824.59331,290879.0
2020-02-03,113785944.334335,331012.0
2020-02-04,101484761.163056,309190.0
2020-02-05,122243007.76459,368604.0
2020-02-06,103791233.007671,315370.0
2020-02-07,106866528.80049,334938.0
2020-02-08,106866528.80049,318363.0
2020-02-09,117630064.07536,317070.0
2020-02-10,93796521.681006,298104.0
2020-02-11,114190850.876276,365583.0
2020-02-12,109742275.18922,344615.0
2020-02-13,108969442.265353,340081.0
2020-02-14,104332444.722146,326078.0
2020-02-15,109742275.18922,322721.0
2020-02-16,109742275.18922,292236.0
2020-02-17,121334769.047237,341491.0
2020-02-18,115924938.580162,331050.0
2020-02-19,108969442.265353,334805.0
2020-02-20,97376948.4073364,316626.0
2020-02-21,119016270.275633,338484.0
2020-02-22,114379272.732427,304597.0
2020-02-23,109742275.18922,285579.0
2020-02-24,108969442.265353,328890.0
2020-02-25,111020255.745151,334593.0
2020-02-26,104700775.427287,329967.0
2020-02-27,113169220.498612,338781.0
2020-02-28,121637665.569937,368590.0
2020-02-29,107010351.35583,307527.0
2020-03-01,136264979.784043,309849.0
2020-03-02,114708937.784307,342821.0
2020-03-03,117788372.355698,342324.0
2020-03-04,128566393.355566,358745.0
2020-03-05,125486958.784175,349529.0
2020-03-06,119328089.641393,338383.0
2020-03-07,120867806.927089,313312.0
2020-03-08,121637665.569937,302694.0
2020-03-09,119877105.097528,348211.0
2020-03-10,108616241.391911,329698.0
2020-03-11,97919187.3154346,287492.0
2020-03-12,124250397.349837,349978.0
2020-03-13,102856289.196885,276798.0
2020-03-14,105324840.13761,279828.0
2020-03-15,97919187.3154346,223230.0
2020-03-16,97919187.3154346,270399.0
2020-03-17,101210588.569735,278326.0
2020-03-18,82285031.3575081,231254.0
2020-03-19,88044983.5525337,265689.0
2020-03-20,89690684.1796838,284594.0
2020-03-21,102033438.88331,245896.0
2020-03-22,104501989.824035,209154.0
2020-03-23,92159235.1204091,259816.0
2020-03-24,108616241.391911,278131.0
2020-03-25,75702228.8489074,218176.0
2020-03-26,112492821.358516,292828.0
2020-03-27,107197274.863781,276546.0
2020-03-28,93365368.4297446,240627.0
2020-03-29,104430893.576974,232820.0
2020-03-30,101664512.290166,276828.0
2020-03-31,109963656.150588,290227.0
2020-04-01,105814084.220377,281855.0
2020-04-02,105814084.220377,299176.0
2020-04-03,91290582.4646392,278763.0
2020-04-04,108580465.507185,253274.0
2020-04-05,121029181.297817,240259.0
2020-04-06,88524201.1778319,280470.0
2020-04-07,116188014.045904,312770.0
2020-04-08,103061194.836332,286563.0
2020-04-09,112650577.826398,286706.0
2020-04-10,119234053.153915,288585.0
2020-04-11,116308064.119463,247852.0
2020-04-12,111919080.567785,228529.0
2020-04-13,125086031.222819,288113.0
2020-04-14,122891539.44698,299391.0
2020-04-15,123623036.705593,310253.0
2020-04-16,112650577.826398,322903.0
2020-04-17,92900151.843848,284222.0
2020-04-18,115576566.86085,289134.0
2020-04-19,111187583.309172,251984.0
2020-04-20,117771058.636689,310810.0
2020-04-21,115730561.554044,310851.0
2020-04-22,103923467.233466,278755.0
2020-04-23,112649865.245436,329045.0
2020-04-24,114236483.065795,320055.0
2020-04-25,107890011.784362,280805.0
2020-04-26,108683320.694541,252833.0
2020-04-27,111856556.335257,311217.0
2020-04-28,122169572.167586,323475.0
2020-04-29,115029791.975974,331401.0
2020-04-30,107096702.874182,321972.0
2020-05-01,111856556.335257,340574.0
2020-05-02,117409718.706511,286773.0
2020-05-03,133275896.910094,281752.0
2020-05-04,125342807.808302,326098.0
2020-05-05,126294576.814336,329075.0
2020-05-06,123288445.655594,333395.0
2020-05-07,117684425.398522,341986.0
2020-05-08,109678682.174133,323625.0
2020-05-09,108878107.851694,312399.0
2020-05-10,136097634.814617,286789.0
2020-05-11,125690168.622911,305839.0
2020-05-12,116883851.076083,345215.0
2020-05-13,95268344.370232,296796.0
2020-05-14,91265472.7580373,268750.0
2020-05-15,100071790.304866,310642.0
2020-05-16,100872364.627304,296555.0
2020-05-17,81658580.8887703,236808.0
2020-05-18,102473513.272182,273723.0
2020-05-19,92066047.0804763,274897.0
2020-05-20,86971887.3185643,280037.0
2020-05-21,98579623.7035512,298483.0
2020-05-22,83529299.4740014,278784.0
2020-05-23,89549429.1658213,269230.0
2020-05-24,87291880.5313888,214530.0
2020-05-25,94064526.4346863,265875.0
2020-05-26,93312010.2232088,295782.0
2020-05-27,103847237.183894,292927.0
2020-05-28,98579623.7035512,299910.0
2020-05-29,95569558.8576412,280960.0
2020-05-30,117392528.990488,286046.0
2020-05-31,112877431.721623,258427.0
2020-06-01,100837172.337984,308312.0
2020-06-02,97074591.2805962,304114.0
2020-06-03,104599753.395371,314000.0
2020-06-04,108668660.65278,318285.0
2020-06-05,122192367.725211,327082.0
2020-06-06,133797229.464477,284873.0
2020-06-07,108539589.208428,252368.0
2020-06-08,110587505.985945,317275.0
2020-06-09,109222228.134267,327074.0
2020-06-10,111952783.837623,325163.0
2020-06-11,126288201.280246,332490.0
2020-06-12,111270144.911784,318274.0
2020-06-13,107856950.282588,280181.0
2020-06-14,116048617.392658,275723.0
2020-06-15,94204171.7658051,294468.0
2020-06-16,106374812.691088,340517.0
2020-06-17,108283617.573483,333547.0
2020-06-18,97298323.0370428,283897.0
2020-06-19,111422273.155323,344142.0
2020-06-20,107498953.678023,284123.0
2020-06-21,114560928.737163,259440.0
2020-06-22,112206937.050783,301396.0
2020-06-23,123976895.482684,355256.0
2020-06-24,109068281.468943,312321.0
2020-06-25,110637609.259863,312183.0
2020-06-26,128684878.855444,330381.0
2020-06-27,108283617.573483,275489.0
2020-06-28,117699584.319003,264909.0
2020-06-29,113776264.841703,315424.0
2020-06-30,115344676.145677,299733.0
2020-07-01,127111309.039231,382570.0
2020-07-02,128680584.459468,339469.0
2020-07-03,127895946.749349,331009.0
2020-07-04,123188120.488637,288647.0
2020-07-05,127895946.749349,274104.0
2020-07-06,120834207.358281,338767.0
2020-07-07,126326671.329112,345975.0
2020-07-08,118480294.227925,347455.0
